mRNA.MSTRG.11731.1	GO:0005576; GO:0016162; GO:0030248; GO:0030245
mRNA.MSTRG.10350.1	GO:0005576; GO:0008810; GO:0030248; GO:0030245
mRNA.MSTRG.5291.1	GO:0005576
mRNA.MSTRG.5292.1	GO:0005576
mRNA.MSTRG.20368.1	GO:0016491
mRNA.MSTRG.1985.1	GO:0005737; GO:0005856; GO:0005730; GO:0005886; GO:0005524; GO:0004674; GO:0007049; GO:0051301; GO:0046777; GO:0051302
mRNA.MSTRG.24715.1	GO:0004497
mRNA.MSTRG.17201.1	GO:0005576; GO:0004222; GO:0008270; GO:0018996
mRNA.MSTRG.651.1	GO:0005576; GO:0052689; GO:0016055
mRNA.MSTRG.11591.1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
mRNA.MSTRG.16878.1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
mRNA.MSTRG.21389.1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
mRNA.MSTRG.25563.2	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
mRNA.MSTRG.28156.1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
mRNA.MSTRG.7314.1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
mRNA.MSTRG.8964.1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
mRNA.MSTRG.16616.1	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
mRNA.MSTRG.16616.2	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
mRNA.MSTRG.18496.1	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
mRNA.MSTRG.18542.1	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
mRNA.MSTRG.18542.2	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
mRNA.MSTRG.18542.3	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
mRNA.MSTRG.2310.1	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
mRNA.MSTRG.26466.1	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
mRNA.MSTRG.3073.1	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
mRNA.MSTRG.358.1	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
mRNA.MSTRG.9461.1	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
mRNA.MSTRG.8921.1	GO:0009279; GO:0009986; GO:0016021; GO:0007155; GO:0009405
mRNA.MSTRG.28665.1	GO:0009279; GO:0009986; GO:0016021; GO:0007155; GO:0009405
mRNA.MSTRG.12001.1	GO:0046872; GO:0004802
mRNA.MSTRG.2777.1	GO:0046872; GO:0004802
mRNA.MSTRG.21872.1	GO:0009535; GO:0071949; GO:0009540; GO:0009688
mRNA.MSTRG.26715.1	GO:0005576; GO:0042025; GO:0003677; GO:0009405
mRNA.MSTRG.26716.1	GO:0005576; GO:0042025; GO:0003677; GO:0009405
mRNA.MSTRG.10850.1	GO:0005788
mRNA.MSTRG.10850.2	GO:0005788
mRNA.MSTRG.10850.3	GO:0005788
mRNA.MSTRG.2967.1	GO:0005829; GO:0016887; GO:0046872; GO:0004842; GO:0008015; GO:0002040; GO:0006511
mRNA.MSTRG.2968.1	GO:0005829; GO:0016887; GO:0046872; GO:0004842; GO:0008015; GO:0002040; GO:0006511
mRNA.MSTRG.2969.1	GO:0005829; GO:0016887; GO:0046872; GO:0004842; GO:0008015; GO:0002040; GO:0006511
mRNA.MSTRG.22377.1	GO:0005930; GO:0097546; GO:0005576; GO:0060271; GO:0003341; GO:0007368; GO:0060287
mRNA.MSTRG.19389.1	GO:0005634; GO:0016422; GO:0099122; GO:1904047; GO:0080009; GO:0045727
mRNA.MSTRG.19389.2	GO:0005634; GO:0016422; GO:0099122; GO:1904047; GO:0080009; GO:0045727
mRNA.MSTRG.8494.1	GO:0005634; GO:0016422; GO:0099122; GO:1904047; GO:0080009; GO:0045727
mRNA.MSTRG.9590.1	GO:0016787; GO:0008168; GO:0031177; GO:0016746; GO:0032259
mRNA.MSTRG.1216.1	GO:0050660; GO:0004499; GO:0050661
mRNA.MSTRG.4410.1	GO:0047689; GO:0008881; GO:0042802; GO:0006807
mRNA.MSTRG.18292.1	GO:0051213; GO:0046872
mRNA.MSTRG.15272.1	GO:0003875; GO:0046872
mRNA.MSTRG.4648.1	GO:0003875; GO:0046872
mRNA.MSTRG.26008.1	noMatch
mRNA.MSTRG.19641.1	noMatch
mRNA.MSTRG.14913.1	GO:0008168; GO:0017000; GO:0032259
mRNA.MSTRG.14913.2	GO:0008168; GO:0017000; GO:0032259
mRNA.MSTRG.16650.1	GO:0008168; GO:0017000; GO:0032259
